hEntrez	humanSymbol	mouse_symbols	log2fc	log2fc_mean	adj_p_value	n_mouse_map	sign_flip	n_datasets	direction	osd_sources	liver_disease_rdkg	liver_disease_spokeokn	nafld_trait_digcfdekg	any_liver_trait_digcfdekg	lipid_pathway	phenotype_linked	rdkg_diseases	sources	n_sources	score	tier	rank
80339	PNPLA3	Pnpla3	-1.1519	-1.1519	0.0323652	1	False	1	down in flight	OSD-25	True	True	True	True	False	True	NAFLD1; alcoholic liver cirrhosis; metabolic dysfunction-associated steatohepatitis	['spoke-genelab', 'rdkg', 'digcfdekg', 'spoke-okn', 'oard-kg']	5	10.23	A	1
6783	SULT1E1	Sult1e1	2.6712	2.6712	0.00269574	1	False	1	up in flight	OSD-25	True	False	False	False	True	False	alcoholic hepatitis; drug-induced liver injury	['spoke-genelab', 'prokn', 'rdkg']	3	9.01	A	2
51085	MLXIPL	Mlxipl	-1.1792	-1.1792	0.000531668	1	False	1	down in flight	OSD-25	True	True	True	True	False	False	liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract	['spoke-genelab', 'rdkg', 'digcfdekg', 'spoke-okn']	4	8.77	A	3
26291	FGF21	Fgf21	1.1127	1.1127	1.49133e-05	1	False	1	up in flight	OSD-25	True	True	True	True	False	False	metabolic dysfunction-associated steatohepatitis	['spoke-genelab', 'rdkg', 'digcfdekg', 'spoke-okn']	4	8.67	A	4
57104	PNPLA2	Pnpla2	1.4574	1.4574	6.69068e-07	1	False	1	up in flight	OSD-25	False	True	True	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg', 'spoke-okn']	4	8.19	A	5
8800	PEX11A	Pex11a	1.0775	1.0775	5.80532e-06	1	False	1	up in flight	OSD-25	True	False	False	True	True	False	drug-induced liver injury	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	4	8.12	A	6
5157	PDGFRL	Pdgfrl	-1.9574	-1.9574	1.75643e-05	1	False	1	down in flight	OSD-25	True	True	False	False	False	False	liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract	['spoke-genelab', 'prokn', 'rdkg', 'spoke-okn']	4	7.94	B	7
2353	FOS	Fos	-1.3546	-1.3546	0.0251745	1	False	1	down in flight	OSD-25	True	True	False	False	False	False	liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract	['spoke-genelab', 'prokn', 'rdkg', 'spoke-okn']	4	7.03	B	8
2081	ERN1	Ern1	-1.1529	-1.1529	0.000140772	1	False	1	down in flight	OSD-25	True	False	False	True	False	False	drug-induced liver injury	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	4	6.73	B	9
10965	ACOT2	Acot1|Acot2|Acot5	2.1145	1.5291	4.13738e-05	3	False	1	up in flight	OSD-25	False	False	False	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg']	3	6.67	B	10
5824	PEX19	Pex19	1.107	1.107	2.04299e-06	1	False	1	up in flight	OSD-25	False	True	False	True	True	False		['spoke-genelab', 'prokn', 'digcfdekg', 'spoke-okn']	4	6.66	B	11
7100	TLR5	Tlr5	2.1032	2.1032	1.96958e-07	1	False	1	up in flight	OSD-25	True	False	False	False	False	False	drug-induced liver injury	['spoke-genelab', 'prokn', 'rdkg']	3	6.65	B	12
148	ADRA1A	Adra1a	1.0338	1.0338	7.44607e-06	1	False	1	up in flight	OSD-25	True	False	False	True	False	False	cirrhosis of liver; liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	4	6.55	B	13
7170	TPM3	Tpm3-rs7	5.5092	5.5092	0.0183924	1	False	1	up in flight	OSD-47	False	False	False	False	False	False		['spoke-genelab', 'prokn']	2	6.5	B	14
